==========] Running 26 tests from 4 test suites.
[----------] Global test environment set-up.
[----------] 16 tests from SiliconDriverWH
[ RUN      ] SiliconDriverWH.OneDramOneTensixNoEthSocDesc
2025-09-09 14:30:44.379 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.379 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.379 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.380 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.418 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.441 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.441 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.441 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.441 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.442 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.479 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.502 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.502 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.502 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.502 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.504 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.540 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.563 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.563 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.563 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.563 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.565 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
